2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company","Coors Brewing Company"
"Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd","Coors Brewers Ltd"
"Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery","Museum Brewing Company / White Shield Brewery"
"Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co.","Thomas Caffrey Brewing Co."
"Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada","Molson Coors Canada"
"Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited","Creemore Springs Brewery Limited"
,,,,"Granville Island Brewery","Granville Island Brewery","Granville Island Brewery","Granville Island Brewery","Granville Island Brewery","Granville Island Brewery","Granville Island Brewery","Granville Island Brewery"
,,,,,,"Sharp's Brewery","Sharp's Brewery","Sharp's Brewery","Sharp's Brewery","Sharp's Brewery","Sharp's Brewery"
,,,,,,"Cobra Beer Partnership Limited","Cobra Beer Partnership Limited","Cobra Beer Partnership Limited","Cobra Beer Partnership Limited","Cobra Beer Partnership Limited","Cobra Beer Partnership Limited"
,,,,,,,"Apatinska Pivara A.D.","Apatinska Pivara A.D.","Apatinska Pivara A.D.","Apatinska Pivara A.D.","Apatinska Pivara A.D."
,,,,,,,"Borsodi Brewery","Borsodi Brewery","Borsodi Brewery","Borsodi Brewery","Borsodi Brewery"
,,,,,,,"Kamenitza AD","Kamenitza AD","Kamenitza AD","Kamenitza AD","Kamenitza AD"
,,,,,,,"AstikA (Interbrew)","AstikA (Interbrew)","AstikA (Interbrew)","AstikA (Interbrew)","AstikA (Interbrew)"
,,,,,,,"Trebjesa Brewery","Trebjesa Brewery","Trebjesa Brewery","Trebjesa Brewery","Trebjesa Brewery"
,,,,,,,"Pivovary Staropramen","Pivovary Staropramen","Pivovary Staropramen","Pivovary Staropramen","Pivovary Staropramen"
,,,,,,,"Pivovoar Branik","Pivovoar Branik","Pivovoar Branik","Pivovoar Branik","Pivovoar Branik"
,,,,,,,"Bergenbier SA","Bergenbier SA","Bergenbier SA","Bergenbier SA","Bergenbier SA"
,,,,,,,"Pivovar Ostravar (Staropramen Breweries / Inbev)","Pivovar Ostravar (Staropramen Breweries / Inbev)","Pivovar Ostravar (Staropramen Breweries / Inbev)","Pivovar Ostravar (Staropramen Breweries / Inbev)","Pivovar Ostravar (Staropramen Breweries / Inbev)"
,,,,,,,"Zagrebaèka Pivovara D.d.","Zagrebaèka Pivovara D.d.","Zagrebaèka Pivovara D.d.","Zagrebaèka Pivovara D.d.","Zagrebaèka Pivovara D.d."
,,,,,,,,,,"Thomas Hardy Burtonwood Limited","Thomas Hardy Burtonwood Limited"
,,,,,,,,,,"Miller Brewing Co.","Miller Brewing Co."
,,,,,,,,,,"Jacob Leinenkugel Brewing Company","Jacob Leinenkugel Brewing Company"
,,,,,,,,,,"Saint Archer Brewing Co.","Saint Archer Brewing Co."
,,,,,,,,,,,"Terrapin Beer Company"
