2000,2001,2002,2003
"Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma"
"Cervejarias Reunidas Skol-Caracu","Cervejarias Reunidas Skol-Caracu","Cervejarias Reunidas Skol-Caracu","Cervejarias Reunidas Skol-Caracu"
"Antarctica (Companhia Brasileira De Bebidas)","Antarctica (Companhia Brasileira De Bebidas)","Antarctica (Companhia Brasileira De Bebidas)","Antarctica (Companhia Brasileira De Bebidas)"
"Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza"
,,"Cerveceria Boliviana Nacional S.A.","Cerveceria Boliviana Nacional S.A."
