2004,2005,2006,2007
"Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma"
"Apatinska Pivara A.D.","Apatinska Pivara A.D.","Apatinska Pivara A.D.","Apatinska Pivara A.D."
"Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)"
"Brasserie Belle-Vue","Brasserie Belle-Vue","Brasserie Belle-Vue","Brasserie Belle-Vue"
"Bergenbier SA","Bergenbier SA","Bergenbier SA","Bergenbier SA"
"Borsodi Brewery","Borsodi Brewery","Borsodi Brewery","Borsodi Brewery"
"Pivovoar Branik","Pivovoar Branik","Pivovoar Branik","Pivovoar Branik"
"Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA"
"Brasserie Piedboeuf","Brasserie Piedboeuf","Brasserie Piedboeuf","Brasserie Piedboeuf"
"Brauerei Beck & Co.","Brauerei Beck & Co.","Brauerei Beck & Co.","Brauerei Beck & Co."
"Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG"
"Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V."
"Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden"
"Cerveceria Boliviana Nacional S.A.","Cerveceria Boliviana Nacional S.A.","Cerveceria Chile","Cerveceria Chile"
"Chernigivske Pivokombinat","Chernigivske Pivokombinat","Cervecería y Maltería Quilmes / Grupo Bemberg","Cervecería y Maltería Quilmes / Grupo Bemberg"
"Columbia Brewery","Columbia Brewery","Cerveceria Boliviana Nacional S.A.","Cerveceria Boliviana Nacional S.A."
"Dinkelacker-Schwabenbraeu AG","Dinkelacker-Schwabenbraeu AG","Chernigivske Pivokombinat","Cervejaria Cintra"
"Dommelsche Bierbrouwerij","Dommelsche Bierbrouwerij","Columbia Brewery","Chernigivske Pivokombinat"
"Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza","Dinkelacker-Schwabenbraeu AG","Columbia Brewery"
"Brauerei Gilde","Brauerei Gilde","Dommelsche Bierbrouwerij","Dommelsche Bierbrouwerij"
"Hofbrauhaus Wolters GmbH","Hasseröder Brauerei GmbH","Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza"
"Abbaye de Leffe S.A.","Hofbrauhaus Wolters GmbH","Brauerei Gilde","Brauerei Gilde"
"Hasseröder Brauerei GmbH","Abbaye de Leffe S.A.","Hasseröder Brauerei GmbH","Hasseröder Brauerei GmbH"
"Klinskiy Pivokombinat","Klinskiy Pivokombinat","Abbaye de Leffe S.A.","Abbaye de Leffe S.A."
"Labatt Brewing Company Ltd.","Labatt Brewing Company Ltd.","Klinskiy Pivokombinat","Klinskiy Pivokombinat"
"Latrobe Brewing Co.","Latrobe Brewing Co.","Labatt Brewing Company Ltd.","Labatt Brewing Company Ltd."
