2004,2005,2006,2007
"Löwenbräu Munich &#40;InBev&#41;","Löwenbräu Munich &#40;InBev&#41;","Löwenbräu Munich &#40;InBev&#41;","Lakeport Brewing Company"
"Alexander Keith's","Alexander Keith's","Alexander Keith's","Löwenbräu Munich &#40;InBev&#41;"
"Pivzavod AO Rosar","Pivzavod AO Rosar","Pivzavod AO Rosar","Alexander Keith's"
"Oriental Brewery Co., Ltd","Oriental Brewery Co., Ltd","Oriental Brewery Co., Ltd","Pivzavod AO Rosar"
"Permskaya Pivovarinnaya Kompaniya ","Permskaya Pivovarinnaya Kompaniya ","Permskaya Pivovarinnaya Kompaniya ","Oriental Brewery Co., Ltd"
"Pivovar Ostravar (Staropramen Breweries / Inbev)","Pivovar Ostravar (Staropramen Breweries / Inbev)","Pivovar Ostravar (Staropramen Breweries / Inbev)","Permskaya Pivovarinnaya Kompaniya "
"Kamenitza AD","Kamenitza AD","Kamenitza AD","Pivovar Ostravar (Staropramen Breweries / Inbev)"
"OPZ Saransk","OPZ Saransk","OPZ Saransk","Kamenitza AD"
"Rogan Brewery","Rogan Brewery","Rogan Brewery","OPZ Saransk"
"Boddingtons","Boddingtons","Boddingtons","Rogan Brewery"
"Spaten-Franziskaner-Bräu","Spaten-Franziskaner-Bräu","Sedrin Brewery Co.","Boddingtons"
"Pivovary Staropramen","Pivovary Staropramen","Spaten-Franziskaner-Bräu","Sedrin Brewery Co."
"Trebjesa Brewery","Tinkoff","Pivovary Staropramen","Spaten-Franziskaner-Bräu"
"United Dutch Breweries B.V.","Trebjesa Brewery","Tinkoff","Pivovary Staropramen"
"Povolzhye OAO","United Dutch Breweries B.V.","Trebjesa Brewery","Tinkoff"
"Tennent Caledonian Breweries","Povolzhye OAO","United Dutch Breweries B.V.","Trebjesa Brewery"
"Yantar Brewery","Tennent Caledonian Breweries","Povolzhye OAO","United Dutch Breweries B.V."
"Zagrebaèka Pivovara D.d.","Yantar Brewery","Tennent Caledonian Breweries","Povolzhye OAO"
"AstikA (Interbrew)","Zagrebaèka Pivovara D.d.","Yantar Brewery","Tennent Caledonian Breweries"
"Stella Artois","AstikA (Interbrew)","Zagrebaèka Pivovara D.d.","Yantar Brewery"
"Rogan Brewery","Stella Artois","AstikA (Interbrew)","Zagrebaèka Pivovara D.d."
"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Rogan Brewery","Stella Artois","AstikA (Interbrew)"
"Cervejarias Reunidas Skol-Caracu","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Rogan Brewery","Stella Artois"
"Antarctica (Companhia Brasileira De Bebidas)","Cervejarias Reunidas Skol-Caracu","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Rogan Brewery"
,"Antarctica (Companhia Brasileira De Bebidas)","Cervejarias Reunidas Skol-Caracu","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co."
,,"Antarctica (Companhia Brasileira De Bebidas)","Cervejarias Reunidas Skol-Caracu"
,,,"Antarctica (Companhia Brasileira De Bebidas)"
