2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania","Ursus S.A. (SAB) / Compania de Bere Romania"
,"Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)","Nile Breweries (SAB)"
,,"Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co.","Miller Brewing Co."
,,,"Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A.","Birra Peroni Industriale S.p.A."
,,,,,"Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston"
,,,,,"Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd"
,,,,,"Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria","Cervecería Bavaria"
,,,,,"Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)"
,,,,,,,,,"Kompania Piwowarska","Kompania Piwowarska","Kompania Piwowarska","Kompania Piwowarska","Kompania Piwowarska","Kompania Piwowarska","Kompania Piwowarska"
,,,,,,,,,"Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)","Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)","Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)","Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)","Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)","Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)","Tyskie Browary Ksi&#261;&#380;&#281;ce (SABMiller)"
,,,,,,,,,"Lech Browary Wielkopolski (SABMiller)","Lech Browary Wielkopolski (SABMiller)","Lech Browary Wielkopolski (SABMiller)","Lech Browary Wielkopolski (SABMiller)","Lech Browary Wielkopolski (SABMiller)","Lech Browary Wielkopolski (SABMiller)","Lech Browary Wielkopolski (SABMiller)"
,,,,,,,,,"South Sudan Beverages Limited","South Sudan Beverages Limited","South Sudan Beverages Limited","South Sudan Beverages Limited","South Sudan Beverages Limited","South Sudan Beverages Limited","South Sudan Beverages Limited"
,,,,,,,,,,,"Carlton & United Breweries, Ltd.","Carlton & United Breweries, Ltd.","Carlton & United Breweries, Ltd.","Carlton & United Breweries, Ltd.","Carlton & United Breweries, Ltd."
