2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc","South African Breweries plc"
"Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd.","Tanzania Breweries Ltd."
"Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited","Mysore Breweries Limited"
"Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries","Zambian National Breweries"
"Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A."
"Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery","Dreher Brewery"
"Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique","Cervejas De Moçambique"
"Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj","Plzeňský Prazdroj"
"Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s.","Pivovar Radegast a.s."
"Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries","Swaziland Breweries"
