2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Pivzavod AO Rosar","Pivzavod AO Rosar","Sedrin Brewery Co.","Boddingtons","Rogan Brewery","OPZ Saransk","Pivzavod AO Rosar","Lakeport Brewing Company","Cervecería Bavaria","Cervecería Bavaria"
"Oriental Brewery Co., Ltd","Permskaya Pivovarinnaya Kompaniya ","Spaten-Franziskaner-Bräu","Sedrin Brewery Co.","Boddingtons","Rogan Brewery","Oriental Brewery Co., Ltd","Löwenbräu Munich &#40;InBev&#41;","Grupo Modelo S.A. de C.V.","Grupo Modelo S.A. de C.V."
"Permskaya Pivovarinnaya Kompaniya ","Pivovar Ostravar (Staropramen Breweries / Inbev)","Tinkoff","Spaten-Franziskaner-Bräu","Sedrin Brewery Co.","Boddingtons","Permskaya Pivovarinnaya Kompaniya ","Mill Street Brew Pub","Harbin Brewery Group","Harbin Brewery Group"
"Pivovar Ostravar (Staropramen Breweries / Inbev)","Kamenitza AD","Povolzhye OAO","Tinkoff","Spaten-Franziskaner-Bräu","Sedrin Brewery Co.","OPZ Saransk","Alexander Keith's","Hasseröder Brauerei GmbH","Hasseröder Brauerei GmbH"
"Kamenitza AD","OPZ Saransk","Yantar Brewery","Povolzhye OAO","Tinkoff","Spaten-Franziskaner-Bräu","Rogan Brewery","Pivzavod AO Rosar","Abbaye de Leffe S.A.","Abbaye de Leffe S.A."
"OPZ Saransk","Rogan Brewery","Stella Artois","Yantar Brewery","Povolzhye OAO","Tinkoff","Boddingtons","Oriental Brewery Co., Ltd","Karbach Brewing Co.","Karbach Brewing Co."
"Rogan Brewery","Boddingtons","Rogan Brewery","Stella Artois","Yantar Brewery","Povolzhye OAO","Sedrin Brewery Co.","Permskaya Pivovarinnaya Kompaniya ","Klinskiy Pivokombinat","Klinskiy Pivokombinat"
"Boddingtons","Sedrin Brewery Co.","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Rogan Brewery","Stella Artois","Yantar Brewery","Spaten-Franziskaner-Bräu","OPZ Saransk","Labatt Brewing Company Ltd.","Labatt Brewing Company Ltd."
"Sedrin Brewery Co.","Spaten-Franziskaner-Bräu","Cervejarias Reunidas Skol-Caracu","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Rogan Brewery","Stella Artois","Tinkoff","Rogan Brewery","Lakeport Brewing Company","Lakeport Brewing Company"
"Spaten-Franziskaner-Bräu","Pivovary Staropramen","Antarctica (Companhia Brasileira De Bebidas)","Cervejarias Reunidas Skol-Caracu","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Rogan Brewery","Povolzhye OAO","Boddingtons","Löwenbräu Munich &#40;InBev&#41;","Löwenbräu Munich &#40;InBev&#41;"
"Pivovary Staropramen","Tinkoff",,"Antarctica (Companhia Brasileira De Bebidas)","Cervejarias Reunidas Skol-Caracu","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Yantar Brewery","Sedrin Brewery Co.","Mill Street Brew Pub","Mill Street Brew Pub"
"Tinkoff","Trebjesa Brewery",,,"Antarctica (Companhia Brasileira De Bebidas)","Cervejarias Reunidas Skol-Caracu","Stella Artois","Spaten-Franziskaner-Bräu","Mysore Breweries Limited","Mysore Breweries Limited"
"Trebjesa Brewery","Povolzhye OAO",,,,"Antarctica (Companhia Brasileira De Bebidas)","Rogan Brewery","Tinkoff","Zambian National Breweries","Zambian National Breweries"
"Povolzhye OAO","Yantar Brewery",,,,,"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Povolzhye OAO","Nile Breweries (SAB)","Nile Breweries (SAB)"
"Tennent Caledonian Breweries","Zagrebaèka Pivovara D.d.",,,,,"Cervejarias Reunidas Skol-Caracu","Yantar Brewery","Alexander Keith's","Alexander Keith's"
"Yantar Brewery","AstikA (Interbrew)",,,,,"Antarctica (Companhia Brasileira De Bebidas)","Stella Artois","Pivzavod AO Rosar","Pivzavod AO Rosar"
"Zagrebaèka Pivovara D.d.","Stella Artois",,,,,,"Rogan Brewery","Oriental Brewery Co., Ltd","Oriental Brewery Co., Ltd"
"AstikA (Interbrew)","Rogan Brewery",,,,,,"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Permskaya Pivovarinnaya Kompaniya ","Permskaya Pivovarinnaya Kompaniya "
"Stella Artois","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.",,,,,,"Cervejarias Reunidas Skol-Caracu","OPZ Saransk","OPZ Saransk"
"Rogan Brewery","Cervejarias Reunidas Skol-Caracu",,,,,,"Antarctica (Companhia Brasileira De Bebidas)","Rogan Brewery","Rogan Brewery"
"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","Antarctica (Companhia Brasileira De Bebidas)",,,,,,,"Boddingtons","Boddingtons"
"Cervejarias Reunidas Skol-Caracu",,,,,,,,"Sedrin Brewery Co.","Sedrin Brewery Co."
"Antarctica (Companhia Brasileira De Bebidas)",,,,,,,,"South African Breweries plc","South African Breweries plc"
,,,,,,,,"Spaten-Franziskaner-Bräu","Spaten-Franziskaner-Bräu"
,,,,,,,,"Swaziland Breweries","Swaziland Breweries"
,,,,,,,,"Tinkoff","Tinkoff"
,,,,,,,,"Povolzhye OAO","Povolzhye OAO"
,,,,,,,,"Yantar Brewery","Yantar Brewery"
,,,,,,,,"Golden Road Brewing","Golden Road Brewing"
,,,,,,,,"Stella Artois","Stella Artois"
,,,,,,,,"Rogan Brewery","Rogan Brewery"
,,,,,,,,"St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.","St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co."
,,,,,,,,"Cervejarias Reunidas Skol-Caracu","Cervejarias Reunidas Skol-Caracu"
,,,,,,,,"Antarctica (Companhia Brasileira De Bebidas)","Antarctica (Companhia Brasileira De Bebidas)"
