2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","10 Barrel Brewing Co.","10 Barrel Brewing Co.","10 Barrel Brewing Co.","10 Barrel Brewing Co."
"Anheuser-Busch","Anheuser-Busch","Anheuser-Busch","Anheuser-Busch","Anheuser-Busch","Anheuser-Busch","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma","Companhia Cervejaria Brahma"
"Apatinska Pivara A.D.","Apatinska Pivara A.D.","Brasserie Belle-Vue","Brasserie Belle-Vue","Brasserie Belle-Vue","Brasserie Belle-Vue","Anheuser-Busch","Anheuser-Busch","Anheuser-Busch","Anheuser-Busch"
"Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Arcense Stoombierbouwerij (Hertog Jan Brouwerij)","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie Belle-Vue","Brasserie Belle-Vue","Union De Cervecerias Peruanas Backus y Johnston","Union De Cervecerias Peruanas Backus y Johnston"
"Brasserie Belle-Vue","Brasserie Belle-Vue","Brasserie Piedboeuf","Brasserie Piedboeuf","Brasserie Piedboeuf","Brasserie Piedboeuf","Blue Point Brewing Company","Blue Point Brewing Company","Brasserie Belle-Vue","Brasserie Belle-Vue"
"Bergenbier SA","Bergenbier SA","Brauerei Beck & Co.","Brauerei Beck & Co.","Brauerei Beck & Co.","Brauerei Beck & Co.","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Blue Point Brewing Company","Blue Point Brewing Company"
"Borsodi Brewery","Borsodi Brewery","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Brasserie Piedboeuf","Brasserie Piedboeuf","Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA"
"Pivovoar Branik","Pivovoar Branik","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Brauerei Beck & Co.","Brauerei Beck & Co.","Brasserie Piedboeuf","Brasserie Piedboeuf"
"Brasserie de Luxembourg Mousel -Diekirch SA","Brasserie de Luxembourg Mousel -Diekirch SA","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Brauerei Beck & Co.","Brauerei Beck & Co."
"Brasserie Piedboeuf","Brasserie Piedboeuf","Cerveceria Chile","Cerveceria Chile","Cerveceria Chile","Cerveceria Chile","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG"
"Brauerei Beck & Co.","Brauerei Beck & Co.","Cervecería y Maltería Quilmes / Grupo Bemberg","Cervecería y Maltería Quilmes / Grupo Bemberg","Cervecería Nacional Dominicana","Cervecería Nacional Dominicana","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Breckenridge Brewery","Breckenridge Brewery"
"Brauerei Diebels GmbH & Co KG","Brauerei Diebels GmbH & Co KG","Cerveceria Boliviana Nacional S.A.","Cerveceria Boliviana Nacional S.A.","Cervecería y Maltería Quilmes / Grupo Bemberg","Cervecería y Maltería Quilmes / Grupo Bemberg","Cerveceria Chile","Camden Town Brewery","Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V."
"Oranjeboom Bierbrouwerij B. V.","Oranjeboom Bierbrouwerij B. V.","Chernigivske Pivokombinat","Chernigivske Pivokombinat","Cerveceria Boliviana Nacional S.A.","Cerveceria Boliviana Nacional S.A.","Cervecería Nacional Dominicana","Cerveceria Chile","Brouwerij van Hoegaarden","Brouwerij van Hoegaarden"
"Brouwerij van Hoegaarden","Brouwerij van Hoegaarden","Columbia Brewery","Columbia Brewery","Chernigivske Pivokombinat","Chernigivske Pivokombinat","Cervecería y Maltería Quilmes / Grupo Bemberg","Cervecería Nacional Dominicana","Camden Town Brewery","Camden Town Brewery"
"Cerveceria Chile","Cerveceria Chile","Dommelsche Bierbrouwerij","Dommelsche Bierbrouwerij","Columbia Brewery","Columbia Brewery","Cerveceria Boliviana Nacional S.A.","Cervecería y Maltería Quilmes / Grupo Bemberg","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)","Compania Cervecera Del Sur Del Peru S.A. (Cervesur)"
"Cervecería y Maltería Quilmes / Grupo Bemberg","Cervecería y Maltería Quilmes / Grupo Bemberg","Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza","Dommelsche Bierbrouwerij","Dommelsche Bierbrouwerij","Chernigivske Pivokombinat","Cerveceria Boliviana Nacional S.A.","Cerveceria Chile","Cerveceria Chile"
"Cerveceria Boliviana Nacional S.A.","Cerveceria Boliviana Nacional S.A.","Brauerei Gilde","Brauerei Gilde","Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza","Columbia Brewery","Chernigivske Pivokombinat","Cerveceria Hondurena, S.A. / BevCo Ltd","Cerveceria Hondurena, S.A. / BevCo Ltd"
"Chernigivske Pivokombinat","Chernigivske Pivokombinat","Harbin Brewery Group","Goose Island Beer Co.","Brauerei Gilde","Brauerei Gilde","Dommelsche Bierbrouwerij","Columbia Brewery","Cerveceria La Constancia S.A. / BevCo Ltd","Cerveceria La Constancia S.A. / BevCo Ltd"
"Columbia Brewery","Columbia Brewery","Hasseröder Brauerei GmbH","Harbin Brewery Group","Goose Island Beer Co.","Goose Island Beer Co.","Fabricas Nacionales De Cerveza","Dommelsche Bierbrouwerij","Cervecería y Maltería Quilmes / Grupo Bemberg","Cervecería y Maltería Quilmes / Grupo Bemberg"
"Dommelsche Bierbrouwerij","Dommelsche Bierbrouwerij","Abbaye de Leffe S.A.","Hasseröder Brauerei GmbH","Harbin Brewery Group","Grupo Modelo S.A. de C.V.","Brauerei Gilde","Fabricas Nacionales De Cerveza","Cervecería Nacional Dominicana","Cervecería Nacional Dominicana"
"Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza","Klinskiy Pivokombinat","Abbaye de Leffe S.A.","Hasseröder Brauerei GmbH","Harbin Brewery Group","Goose Island Beer Co.","Four Peaks Brewing Company - 8th Street Brewery","Cerveceria Boliviana Nacional S.A.","Cerveceria Boliviana Nacional S.A."
"Brauerei Gilde","Brauerei Gilde","Labatt Brewing Company Ltd.","Klinskiy Pivokombinat","Abbaye de Leffe S.A.","Hasseröder Brauerei GmbH","Grupo Modelo S.A. de C.V.","Brauerei Gilde","Cervejas De Moçambique","Cervejas De Moçambique"
"Harbin Brewery Group","Harbin Brewery Group","Lakeport Brewing Company","Labatt Brewing Company Ltd.","Klinskiy Pivokombinat","Abbaye de Leffe S.A.","Harbin Brewery Group","Golden Road Brewing","Chernigivske Pivokombinat","Chernigivske Pivokombinat"
"Hasseröder Brauerei GmbH","Hasseröder Brauerei GmbH","Löwenbräu Munich &#40;InBev&#41;","Lakeport Brewing Company","Labatt Brewing Company Ltd.","Klinskiy Pivokombinat","Hasseröder Brauerei GmbH","Goose Island Beer Co.","Columbia Brewery","Columbia Brewery"
"Abbaye de Leffe S.A.","Abbaye de Leffe S.A.","Alexander Keith's","Löwenbräu Munich &#40;InBev&#41;","Lakeport Brewing Company","Labatt Brewing Company Ltd.","Abbaye de Leffe S.A.","Grupo Modelo S.A. de C.V.","Compañía Cervecera De Canarias, S.A.","Compañía Cervecera De Canarias, S.A."
"Klinskiy Pivokombinat","Klinskiy Pivokombinat","Pivzavod AO Rosar","Alexander Keith's","Löwenbräu Munich &#40;InBev&#41;","Lakeport Brewing Company","Klinskiy Pivokombinat","Harbin Brewery Group","Devils Backbone Brewing Company","Devils Backbone Brewing Company"
"Labatt Brewing Company Ltd.","Labatt Brewing Company Ltd.","Permskaya Pivovarinnaya Kompaniya ","Pivzavod AO Rosar","Alexander Keith's","Löwenbräu Munich &#40;InBev&#41;","Labatt Brewing Company Ltd.","Hasseröder Brauerei GmbH","Dommelsche Bierbrouwerij","Dommelsche Bierbrouwerij"
"Lakeport Brewing Company","Lakeport Brewing Company","OPZ Saransk","Permskaya Pivovarinnaya Kompaniya ","Pivzavod AO Rosar","Alexander Keith's","Lakeport Brewing Company","Abbaye de Leffe S.A.","Fabricas Nacionales De Cerveza","Fabricas Nacionales De Cerveza"
"Löwenbräu Munich &#40;InBev&#41;","Löwenbräu Munich &#40;InBev&#41;","Rogan Brewery","OPZ Saransk","Permskaya Pivovarinnaya Kompaniya ","Pivzavod AO Rosar","Löwenbräu Munich &#40;InBev&#41;","Klinskiy Pivokombinat","Four Peaks Brewing Company - 8th Street Brewery","Four Peaks Brewing Company - 8th Street Brewery"
"Alexander Keith's","Alexander Keith's","Boddingtons","Rogan Brewery","OPZ Saransk","Permskaya Pivovarinnaya Kompaniya ","Alexander Keith's","Labatt Brewing Company Ltd.","Goose Island Beer Co.","Goose Island Beer Co."
