2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,,,,"Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)","Бочкаревский пивоваренный завод (Bochkarevskiy Pivovarennyi Zavod)"
,,,,"Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)","Kombinat Pivo-Byezalkogolnikh Napitkov ""Shikhan"" (CEBCO)"
,,,,"Volga","Volga","Volga","Volga","Volga","Volga","Volga","Volga","Volga","Volga","Volga","Volga","Volga"
,,,,,"Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA","Grande Brasserie de Nouvelle-Calédonie SA"
,,,,,"Amur","Amur","Amur","Amur","Amur","Amur","Amur","Amur","Amur","Amur","Amur","Amur"
,,,,,"Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya","Baikalskaya Pivovarenniya Kompaniya"
,,,,,"Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO","Patra OAO"
,,,,,"Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery","Stepan Razin Brewery"
,,,,,"Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V.","Surinaamse Brouwerij N.V."
,,,,,,,"Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s.","Královský Pivovar Krušovice a.s."
,,,,,,,,"SP Rechitsapivo OAO","SP Rechitsapivo OAO","SP Rechitsapivo OAO","SP Rechitsapivo OAO","SP Rechitsapivo OAO","SP Rechitsapivo OAO","SP Rechitsapivo OAO","SP Rechitsapivo OAO","SP Rechitsapivo OAO"
,,,,,,,,"Brouwerij Alken-Maes","Brouwerij Alken-Maes","Brouwerij Alken-Maes","Brouwerij Alken-Maes","Brouwerij Alken-Maes","Brouwerij Alken-Maes","Brouwerij Alken-Maes","Brouwerij Alken-Maes","Brouwerij Alken-Maes"
,,,,,,,,"Brouwerij Mort Subite","Brouwerij Mort Subite","Brouwerij Mort Subite","Brouwerij Mort Subite","Brouwerij Mort Subite","Brouwerij Mort Subite","Brouwerij Mort Subite","Brouwerij Mort Subite","Brouwerij Mort Subite"
,,,,,,,,"Pivovar Breznak","Pivovar Breznak","Pivovar Breznak","Pivovar Breznak","Pivovar Breznak","Pivovar Breznak","Pivovar Breznak","Pivovar Breznak","Pivovar Breznak"
,,,,,,,,"Pivovar Kutná Hora","Pivovar Kutná Hora","Pivovar Kutná Hora","Hartwall Helsinki Panimo","Hartwall Helsinki Panimo","Beamish & Crawford Plc.","Beamish & Crawford Plc.","Beamish & Crawford Plc.","Beamish & Crawford Plc."
,,,,,,,,"Pivovar Louny","Pivovar Louny","Pivovar Louny","Beamish & Crawford Plc.","Beamish & Crawford Plc.","S.C. Bere Mure&#356","S.C. Bere Mure&#357","S.C. Bere Mure&#358","S.C. Bere Mure&#359"
,,,,,,,,"Hartwall Helsinki Panimo","Hartwall Helsinki Panimo","Hartwall Helsinki Panimo","S.C. Bere Mure&#354","S.C. Bere Mure&#355","The Caledonian Brewing Company","The Caledonian Brewing Company","The Caledonian Brewing Company","The Caledonian Brewing Company"
,,,,,,,,"Beamish & Crawford Plc.","Beamish & Crawford Plc.","Beamish & Crawford Plc.","The Caledonian Brewing Company","The Caledonian Brewing Company","Brauerei Eichhof","Brauerei Eichhof","Brauerei Eichhof","Brauerei Eichhof"
,,,,,,,,"S.C. Bere Mure&#351","S.C. Bere Mure&#352","S.C. Bere Mure&#353","Brauerei Eichhof","Brauerei Eichhof","VBL Tien Giang Limited (Fosters)","VBL Tien Giang Limited (Fosters)","VBL Tien Giang Limited (Fosters)","VBL Tien Giang Limited (Fosters)"
,,,,,,,,"The Caledonian Brewing Company","The Caledonian Brewing Company","The Caledonian Brewing Company","VBL Tien Giang Limited (Fosters)","VBL Tien Giang Limited (Fosters)","Cervejaria Kaiser","Cervejaria Kaiser","Cervejaria Kaiser","Cervejaria Kaiser"
,,,,,,,,"Brauerei Eichhof","Brauerei Eichhof","Brauerei Eichhof","Cervejaria Kaiser","Cervejaria Kaiser","Cambodia Brewery Limited","Cambodia Brewery Limited","Cambodia Brewery Limited","Cambodia Brewery Limited"
,,,,,,,,"VBL Tien Giang Limited (Fosters)","VBL Tien Giang Limited (Fosters)","VBL Tien Giang Limited (Fosters)","Cambodia Brewery Limited","Cambodia Brewery Limited","Harar Beer Factory","Harar Beer Factory","Harar Beer Factory","Harar Beer Factory"
,,,,,,,,,,"Cervejaria Kaiser","Harar Beer Factory","Harar Beer Factory","Bedele Brewery","Bedele Brewery","Bedele Brewery","Bedele Brewery"
,,,,,,,,,,"Cambodia Brewery Limited","Bedele Brewery","Bedele Brewery","Brasserie de Tahiti S.A.","Brasserie de Tahiti S.A.","Brasserie de Tahiti S.A.","Brasserie de Tahiti S.A."
,,,,,,,,,,,"Brasserie de Tahiti S.A.","Brasserie de Tahiti S.A.","Brasserie Nationale d'Haiti","Brasserie Nationale d'Haiti","Brasserie Nationale d'Haiti","Brasserie Nationale d'Haiti"
,,,,,,,,,,,"Brasserie Nationale d'Haiti","Brasserie Nationale d'Haiti","Solomon Breweries","Solomon Breweries","Solomon Breweries","Solomon Breweries"
,,,,,,,,,,,"Solomon Breweries","Solomon Breweries","Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.","Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.","Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.","Cervecería Cuauhtémoc Moctezuma, S.A. de C.V."
,,,,,,,,,,,,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.","DB Breweries","DB Breweries","DB Breweries","DB Breweries"
,,,,,,,,,,,,"DB Breweries",,,"Companhia União de Cervejas de Angola (Pela CUCA)","Companhia União de Cervejas de Angola (Pela CUCA)"
,,,,,,,,,,,,,,,"Lagunitas Brewing Company","Lagunitas Brewing Company"
