2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd.","Nigerian Breweries, Ltd."
"Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A.","Cerveceria Del Baru Panama, S.A."
"South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD","South Pacific Brewery LTD"
"Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)","Zywiec Breweries PLC (Heineken)"
"Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o.","Browary Warka Sp. z o.o."
"Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd.","Heineken St.Petersburg Brewery Ltd."
"Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd.","Windward & Leeward Brewery Ltd."
"Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara"
"Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited","Asia Pacific Breweries Limited"
"Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s.","Pivovar V Martine / Heineken Slovensko, a.s."
