2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S","Carlsberg Breweries A/S"
"Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S","Carlsberg Danmark A/S"
"Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri","Wiibroes Bryggeri"
"Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus","Kongens Bryghus"
"Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S","Tuborgs Bryggerier A/S"
"Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab","Oy Sinebrychoff Ab"
"Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg","Brasseries Kronenbourg"
"Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH","Hannen Brauerei GmbH"
"E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG","Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG"
"Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri","E. C. Dahls Bryggeri"
"Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)"
"Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)","Browar Okocim S.A. (Carlsberg)"
"Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A.","Bosman Browar Szczecin S.A."
"Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)","Kasztelan Browar Sierpc S.A. (Carlsberg)"
