2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A.","Browary Dolno&#347;l&#261;skie Piast S.A."
"Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige","Carlsberg Sverige"
"Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB","Carlsberg Sverige AB"
"Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group","Feldschlösschen Beverages Group"
"Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku","Baltika-Baku"
"Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod","Alivaria Pivzavod"
"Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)","Shumensko Pivo (Carlsberg Bulgaria)"
"Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo","Pirinsko Pivo"
"Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia","Carlsberg Croatia"
"Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD","Saku Brewery LTD"
"Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Birrificio Angelo Poretti","Olympic Brewery S.A.","Olympic Brewery S.A."
"Aldaris","Aldaris","Aldaris","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A.","Birrificio Angelo Poretti","Birrificio Angelo Poretti"
"UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","Aldaris","Aldaris","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")","Carlsberg Italia S.p.A.","Carlsberg Italia S.p.A."
"Utenos Alus","Utenos Alus","Utenos Alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","Aldaris","Aldaris","Aldaris","Aldaris","Aldaris","Aldaris","Aldaris","Aldaris","Aldaris","Aldaris","TOO Kompaniya Ak-Nar (""Derbes"")","TOO Kompaniya Ak-Nar (""Derbes"")"
"Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Utenos Alus","Utenos Alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus","Aldaris","Aldaris"
"Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Utenos Alus","Utenos Alus","Utenos Alus","Utenos Alus","Utenos Alus","Utenos Alus","Utenos Alus","Utenos Alus","Utenos Alus","Utenos Alus","UAB Švyturys - Utenos alus","UAB Švyturys - Utenos alus"
"Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara","Utenos Alus","Utenos Alus"
"Baltika Breweries","Baltika Breweries","Baltika Breweries","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)","Carlsberg Srbija D.O.O. Pivara","Carlsberg Srbija D.O.O. Pivara"
"Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Baltika Breweries","Baltika Breweries","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Lvivska Pivovarnya (BBH)","Lvivska Pivovarnya (BBH)"
"Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Baltika Breweries","Baltika Breweries","Baltika Breweries","Baltika Breweries","Baltika Breweries","Baltika Breweries","Baltika Breweries","Baltika Breweries","Baltika Breweries","Baltika Breweries","Zolotoy Ural OAO (Baltika-Chelyabinsk)","Zolotoy Ural OAO (Baltika-Chelyabinsk)"
,,,"Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd.","Baltika Breweries","Baltika Breweries"
"Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad",,,"Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co.","Chongqing Brewery Co., Ltd.","Chongqing Brewery Co., Ltd."
"Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad",,,"Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Lao Brewery Co.","Lao Brewery Co.","Lao Brewery Co.","Lao Brewery Co.","Jing-A (京A) Brewing Co.","Jing-A (京A) Brewing Co."
"Gorkha Brewery","Gorkha Brewery","Gorkha Brewery","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad","Lao Brewery Co.","Lao Brewery Co."
"Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Gorkha Brewery","Gorkha Brewery","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Gorkha Brewery","Gorkha Brewery","Gorkha Brewery","Gorkha Brewery","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd.","Carlsberg Brewery Malaysia Berhad","Carlsberg Brewery Malaysia Berhad"
"United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Gorkha Brewery","Gorkha Brewery","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Gorkha Brewery","Gorkha Brewery","Gorkha Brewery","Gorkha Brewery","Myanmar Carlsberg Co., Ltd.","Myanmar Carlsberg Co., Ltd."
"Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)","Gorkha Brewery","Gorkha Brewery"
"Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod","Sarbast (UzCarlsberg, LLC)","Sarbast (UzCarlsberg, LLC)"
"Turk Tuborg Brewing and Malting","Turk Tuborg Brewing and Malting","Turk Tuborg Brewing and Malting","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet","United Romanian Breweries Bereprod","United Romanian Breweries Bereprod"
,,,"Turk Tuborg Brewing and Malting","Turk Tuborg Brewing and Malting","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Turk Tuborg Brewing and Malting","Vena Brewery","Vena Brewery","Vena Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery","Nya Carnegiebryggeriet","Nya Carnegiebryggeriet"
,,,,"Vena Brewery","Turk Tuborg Brewing and Malting","Turk Tuborg Brewing and Malting","Vena Brewery",,,,"Hue Brewery LTD","Hue Brewery LTD","Hue Brewery LTD","Hue Brewery LTD","Carlsberg Malawi Brewery","Carlsberg Malawi Brewery"
,,,,,"Vena Brewery","Vena Brewery",,,,,"Vena Brewery","Vena Brewery","Vena Brewery","Vena Brewery","Hue Brewery LTD","Hue Brewery LTD"
,,,,,,,,,,,,,,,"Vena Brewery","Vena Brewery"
