code,nbr_breweries
ATG,0
DZA,0
AZE,0
ALB,0
ARM,0
AGO,0
ASM,0
ARG,0
AUS,0
BHR,0
BRB,0
BMU,0
BHS,0
BGD,0
BLZ,0
BIH,0
BOL,0
MMR,0
BEN,0
SLB,0
BRA,0
BGR,0
BRN,0
CAN,0
KHM,0
LKA,0
COG,0
COD,0
BDI,0
CHN,0
AFG,0
BTN,0
CHL,0
CYM,0
CMR,0
TCD,0
COM,0
COL,0
CRI,0
CAF,0
CUB,0
CPV,0
COK,0
CYP,0
DNK,0
DJI,0
DMA,0
DOM,0
ECU,0
EGY,0
IRL,2.0
GNQ,0
EST,0
ERI,0
SLV,0
ETH,0
AUT,0
CZE,0
GUF,0
FIN,0
FJI,0
FLK,0
FSM,0
PYF,0
FRA,0
GMB,0
GAB,0
GEO,0
GHA,C
GRD,0
GRL,0
DEU,0
GUM,0
GRC,0
GTM,0
GIN,0
GUY,0
HTI,0
HND,0
HRV,0
HUN,0
ISL,0
IND,0
IRN,0
ISR,0
ITA,0
CIV,0
IRQ,0
JPN,0
JAM,0.0
JOR,0
KEN,1.0
KGZ,0
PRK,0
KIR,0
KOR,0
KWT,0
KAZ,0
LAO,0
LBN,0
LVA,0
BLR,0
LTU,0
LBR,0
SVK,0
LIE,0
LBY,0
MDG,0
MTQ,0
MNG,0
MSR,0
MKD,0
MLI,0
MAR,0
MUS,0
MRT,0
MLT,0
OMN,0
MDV,0
MEX,0
MYS,0.0
MOZ,0
MWI,0
NCL,0
NIU,0
NER,0
ABW,0
AIA,0
BEL,0
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0
MAC,0
MCO,0
PSE,0
MNE,0
MYT,0
ALA,0
NFK,0
CCK,0
ATA,0
BVT,0
ATF,0
HMD,0
IOT,0
CXR,0
UMI,0
VUT,0
NGA,1.0
NLD,0
NOR,0
NPL,0
NRU,0
SUR,0
NIC,0
NZL,0
PRY,0
PER,0
PAK,0
POL,0
PAN,0
PRT,0
PNG,0
GNB,0
QAT,0
REU,0
ROU,0
MDA,0
PHL,0
PRI,0
RUS,0
RWA,0
SAU,0
KNA,0
SYC,1.0
ZAF,0
LSO,0
BWA,0
SEN,0
SVN,0
SLE,0
SGP,0
SOM,0
ESP,0
LCA,0
SDN,0
SWE,0
SYR,0
CHE,0
TTO,0
THA,0
TJK,0
TKL,0
TON,0
TGO,0
STP,0
TUN,0
TUR,0
TUV,0
TKM,0
TZA,1.0
UGA,1.0
GBR,0
UKR,0
USA,0.0
BFA,0
URY,0
UZB,0
VCT,0
VEN,0
VGB,0
VNM,0
VIR,0
NAM,0
WLF,0
WSM,0
SWZ,0
YEM,0
ZMB,0
ZWE,0
IDN,0
GLP,0
ANT,0
ARE,0
TLS,0
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,0
SRB,0
VAT,0
SJM,0
MAF,0
BLM,0
GGY,0
JEY,0
SGS,0
TWN,0
