year,AB,ABInBev,Ambev,Asahi,Carlsberg,Coors,Diageo,GroupoModelo,Heineken,Inbev,Interbrew,Molson,MolsonCoors,SABMiller
2000,1,0,4,2,41,2,9,1,35,0,33,1,0,11
2001,1,0,4,2,41,2,9,1,35,0,36,1,0,12
2002,1,0,5,2,41,4,9,1,37,0,39,1,0,13
2003,1,0,5,2,42,4,9,1,43,0,40,1,0,14
2004,2,0,0,2,43,4,9,1,46,47,0,1,0,14
2005,2,0,0,2,44,0,9,1,52,48,0,0,6,18
2006,2,0,0,2,44,0,9,1,52,49,0,0,6,18
2007,2,0,0,2,44,0,9,1,53,50,0,0,6,18
2008,0,50,0,2,43,0,9,1,64,0,0,0,6,18
2009,0,48,0,2,43,0,9,1,64,0,0,0,7,22
2010,0,37,0,2,43,0,10,1,66,0,0,0,7,22
2011,0,38,0,2,45,0,10,1,69,0,0,0,9,23
2012,0,39,0,2,45,0,10,1,71,0,0,0,19,23
2013,0,40,0,2,45,0,10,0,70,0,0,0,19,23
2014,0,43,0,2,45,0,10,0,70,0,0,0,19,23
2015,0,47,0,3,46,0,8,0,72,0,0,0,23,23
2016,0,61,0,10,46,0,8,0,71,0,0,0,24,0
2017,0,61,0,16,45,0,8,0,71,0,0,0,24,0
