2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)","Pivovarni Heineken (Heineken)"
"Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil","Heineken Brasil"
"Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)","Aoke Brewery (Heineken)"
"Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)","Hainan Asia Pacific Brewery (Heineken)"
"Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)","Shanghai Asia Pacific Brewery (Heineken)"
"Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)","Brasserie du Congo (Heineken)"
"Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska","Heineken Hrvatska"
"Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)","Bralima (Heineken)"
"Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)","Heineken (France)"
"Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)","Pelforth (Heineken)"
