2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus","Fredericia Bryghus"
"Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)","Husbryggeriet Jacobsen (Carlsberg)"
"C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri","C. Wiibroes Haandværksbryggeri"
"Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)","Sinebrychoff (Carlsberg)"
"Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)","Karhupanimo (Sinebrychoff)"
"Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)","Kronenbourg (Carlsberg)"
"Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;","Hannen &#40;Oettinger/Carlsberg&#41;"
"E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;","Holsten-Brauerei &#40;Carlsberg&#41;"
"Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)","E. C. Dahls Bryggeri (Ringnes)"
"Okocim (Carlsberg Polska)","Okocim (Carlsberg Polska)","Okocim (Carlsberg Polska)","Okocim (Carlsberg Polska)","Okocim (Carlsberg Polska)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)","Ringnes Bryggeri (Carlsberg)"
