2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)","St. Jamess Gate (Diageo)"
"Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria","Guinness Nigeria"
"Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana","Guinness Ghana"
"Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)","Desnoes and Geddes (Diageo PLC)",,
"Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)","Guinness Anchor Berhad (Diageo/Asia Pacific Breweries-Heineken)",,
"Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon","Guinness Cameroon"
"Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)","Dundalk (Diageo)",
"Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada","Diageo Canada"
,,,,,,,,,,,,,,"Meta Abo SC ","Meta Abo SC ","Meta Abo SC "
"Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)","Seychelles Breweries (Diageo)"
"Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)","Kenya Breweries (EABL/East African Breweries - Diageo)"
,,,,,,,,,,,,,,"Serengeti Breweries (EABL/East African Breweries)","Serengeti Breweries (EABL/East African Breweries)","Serengeti Breweries (EABL/East African Breweries)"
"Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)","Uganda Breweries (EABL/East African Breweries)"
