2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)","South African Breweries (SABMiller)"
"Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)","Tanzanian Breweries (SABMiller)"
"Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)","Mysore Breweries (SABMiller)"
"National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)","National Breweries PLC (Zambia) (SABMiller)"
"Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)","Compañia Cervecera de Canarias (SABMiller)"
"Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)","Dreher Sörgyárak (SABMiller)"
"Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)","Cervejas De Moçambique (SABMiller)"
"Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)","Plzensky Prazdroj (Asahi)"
"Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)","Radegast (SABMiller)"
"Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers","Swaziland Brewers"
