2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,"Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)","Nile Breweries (SABMiller)"
,,,"Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;","Miller Brewing Company &#40;MillerCoors&#41;"
,,,"Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)","Birra Peroni Industriale (SABMiller)"
,,,,,"Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)","Backus y Johnston (SABMiller)"
,,,,,"Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)","Cervecería Nacional Ecuador (SABMiller)"
,,,,,"Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)","Cerveceria La Constancia (SABMiller)"
,,,,,"Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)","Grupo Empresarial Bavaria (SABMiller)"
,,,,,"Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)"
,,,,,,,,,"Kompania Piwowarska (Asahi)","Kompania Piwowarska (Asahi)","Kompania Piwowarska (Asahi)","Kompania Piwowarska (Asahi)","Kompania Piwowarska (Asahi)","Kompania Piwowarska (Asahi)","Kompania Piwowarska (Asahi)"
,,,,,,,,,"Tyskie Brewery (Asahi)","Tyskie Brewery (Asahi)","Tyskie Brewery (Asahi)","Tyskie Brewery (Asahi)","Tyskie Brewery (Asahi)","Tyskie Brewery (Asahi)","Tyskie Brewery (Asahi)"
,,,,,,,,,"Southern Sudan Beverages (SABMiller)","Southern Sudan Beverages (SABMiller)","Southern Sudan Beverages (SABMiller)","Southern Sudan Beverages (SABMiller)","Southern Sudan Beverages (SABMiller)","Southern Sudan Beverages (SABMiller)","Southern Sudan Beverages (SABMiller)"
,,,,,,,,,,,"Carlton & United Breweries (CUB)","Carlton & United Breweries (CUB)","Carlton & United Breweries (CUB)","Carlton & United Breweries (CUB)","Carlton & United Breweries (CUB)"
,,,,,,,,,,,"Fosters Brewing (CUB)","Fosters Brewing (CUB)","Fosters Brewing (CUB)","Fosters Brewing (CUB)","Fosters Brewing (CUB)"
