2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Chernigivskyj Pivzavod (Sun-InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brauerei Diebels &#40;InBev&#41;","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Branik (InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brauerei Beck & Co./Becks (InBev)"
"Columbia Brewery &#40;Labatt-InBev&#41;","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij de Oranjeboom (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brasserie Piedboeuf (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brouwerij Hoegaarden (AB-InBev)","Cerveceria Chile S.A. (InBev)","Cerveceria Chile S.A. (InBev)","Cerveceria Chile S.A. (InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brauerei Diebels &#40;InBev&#41;"
"Dommelsche Bierbrouwerij (InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brauerei Beck & Co./Becks (InBev)","Brasserie Piedboeuf (InBev)","Cerveceria Chile S.A. (InBev)","Cerveceria Malteria Quilmes SAICAY (InBev)","Cerveceria Malteria Quilmes SAICAY (InBev)","Cerveceria Malteria Quilmes SAICAY (InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Breckenridge Brewery &#40;AB InBev&#41;"
"Haskovo (MolsonCoors)","Columbia Brewery &#40;Labatt-InBev&#41;","Columbia Brewery &#40;Labatt-InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brauerei Diebels &#40;InBev&#41;","Brauerei Beck & Co./Becks (InBev)","Cerveceria Malteria Quilmes SAICAY (InBev)","Cerveceria Paraguaya - Cervepar","Cervecería Nacionál Dominicana (AB-Inbev)","Cervecería Nacionál Dominicana (AB-Inbev)","Cerveceria Chile S.A. (InBev)","Camden Town Brewery &#40;AB InBev&#41;","Brouwerij de Oranjeboom (InBev)"
"InBev Belgium","Dommelsche Bierbrouwerij (InBev)","Dommelsche Bierbrouwerij (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij de Oranjeboom (InBev)","Brauerei Diebels &#40;InBev&#41;","Cerveceria Paraguaya - Cervepar","Cervecería Santa Cruz (Bolivia)","Cerveceria Paraguaya - Cervepar","Cerveceria Paraguaya - Cervepar","Cerveceria Malteria Quilmes SAICAY (InBev)","Cerveceria Chile S.A. (InBev)","Brouwerij Hoegaarden (AB-InBev)"
"Jinhua InBev Double Deer Beer Co.","Haskovo (MolsonCoors)","Gilde Brauerei &#40;InBev&#41;","Dommelsche Bierbrouwerij (InBev)","Cerveceria Paraguaya - Cervepar","Cerveceria Paraguaya - Cervepar","Cerveceria Chile S.A. (InBev)","Cerveceria Chile S.A. (InBev)","Brouwerij Hoegaarden (AB-InBev)","Brouwerij de Oranjeboom (InBev)","Cervecería Santa Cruz (Bolivia)","Cerveceria Taquiña (CBN - AB-InBev)","Cervecería Santa Cruz (Bolivia)","Cervecería Santa Cruz (Bolivia)","Cervecería Nacionál Dominicana (AB-Inbev)","Cerveceria Malteria Quilmes SAICAY (InBev)","Camden Town Brewery &#40;AB InBev&#41;"
"Klinskiy Pivokombinat (Sun-InBev)","Hemelinger Getränke Ahlers GmbH","Haskovo (MolsonCoors)","Gilde Brauerei &#40;InBev&#41;","Cervecería Santa Cruz (Bolivia)","Cervecería Santa Cruz (Bolivia)","Cerveceria Malteria Quilmes SAICAY (InBev)","Cerveceria Malteria Quilmes SAICAY (InBev)","Cerveceria Chile S.A. (InBev)","Brouwerij Hoegaarden (AB-InBev)","Cerveceria Taquiña (CBN - AB-InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Cerveceria Taquiña (CBN - AB-InBev)","Cerveceria Taquiña (CBN - AB-InBev)","Cerveceria Paraguaya - Cervepar","Cervecería Nacionál Dominicana (AB-Inbev)","Cervecera del sur del Peru (Backus & Johnston - SABMiller)"
"Kursk (Sun-InBev)","InBev Belgium","Hasseröder Brauerei &#40;InBev&#41;","Haskovo (MolsonCoors)","Cerveceria Taquiña (CBN - AB-InBev)","Cerveceria Taquiña (CBN - AB-InBev)","Cerveceria Paraguaya - Cervepar","Cerveceria Paraguaya - Cervepar","Cerveceria Malteria Quilmes SAICAY (InBev)","Cerveceria Chile S.A. (InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Cervecería Santa Cruz (Bolivia)","Cerveceria Paraguaya - Cervepar","Cerveceria Chile S.A. (InBev)"
"Labatt Breweries &#40;AB InBev&#41;","Jinhua InBev Double Deer Beer Co.","Hemelinger Getränke Ahlers GmbH","Hasseröder Brauerei &#40;InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Cervecería Santa Cruz (Bolivia)","Cervecería Santa Cruz (Bolivia)","Cerveceria Paraguaya - Cervepar","Cerveceria Malteria Quilmes SAICAY (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Dommelsche Bierbrouwerij (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Columbia Brewery &#40;Labatt-InBev&#41;","Cerveceria Taquiña (CBN - AB-InBev)","Cervecería Santa Cruz (Bolivia)","Cerveceria Hondureña (SABMiller)"
"Latrobe Brewing Company","Klinskiy Pivokombinat (Sun-InBev)","Hofbrauhaus Wolters","Hemelinger Getränke Ahlers GmbH","Columbia Brewery &#40;Labatt-InBev&#41;","Columbia Brewery &#40;Labatt-InBev&#41;","Cerveceria Taquiña (CBN - AB-InBev)","Cerveceria Taquiña (CBN - AB-InBev)","Cervecería Santa Cruz (Bolivia)","Cerveceria Paraguaya - Cervepar","Dommelsche Bierbrouwerij (InBev)","FNC S.A. (InBev)","Dommelsche Bierbrouwerij (InBev)","Dommelsche Bierbrouwerij (InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Cerveceria Taquiña (CBN - AB-InBev)","Cerveceria La Constancia (SABMiller)"
"Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Kursk (Sun-InBev)","InBev Belgium","Hofbrauhaus Wolters","Dinkelacker-Schwaben Bräu","Dinkelacker-Schwaben Bräu","Chernigivskyj Pivzavod (Sun-InBev)","Cervejarias Cintra","Cerveceria Taquiña (CBN - AB-InBev)","Cervecería Santa Cruz (Bolivia)","FNC S.A. (InBev)","Gilde Brauerei &#40;InBev&#41;","FNC S.A. (InBev)","FNC S.A. (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)","Cerveceria Malteria Quilmes SAICAY (InBev)"
"Oland Brewery &#40;AB-InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Jinhua InBev Double Deer Beer Co.","InBev Belgium","Dommelsche Bierbrouwerij (InBev)","Dommelsche Bierbrouwerij (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)","Chernigivskyj Pivzavod (Sun-InBev)","Cerveceria Taquiña (CBN - AB-InBev)","Gilde Brauerei &#40;InBev&#41;","Goose Island Beer Company &#40;AB-InBev&#41;","Gilde Brauerei &#40;InBev&#41;","Gilde Brauerei &#40;InBev&#41;","Dommelsche Bierbrouwerij (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Cervecería Nacionál Dominicana (AB-Inbev)"
"Omsk (Sun-InBev)","Latrobe Brewing Company","Klinskiy Pivokombinat (Sun-InBev)","Jinhua InBev Double Deer Beer Co.","FNC S.A. (InBev)","FNC S.A. (InBev)","Dinkelacker-Schwaben Bräu","Columbia Brewery &#40;Labatt-InBev&#41;","Columbia Brewery &#40;Labatt-InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)","Harbin Beer Company (AB InBev)","Harbin Beer Company (AB InBev)","Goose Island Beer Company &#40;AB-InBev&#41;","Goose Island Beer Company &#40;AB-InBev&#41;","FNC S.A. (InBev)","Dommelsche Bierbrouwerij (InBev)","Cervecería Nacional Ecuador (SABMiller)"
"Oriental Brewery (AB-InBev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Kursk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Gilde Brauerei &#40;InBev&#41;","Gilde Brauerei &#40;InBev&#41;","Dommelsche Bierbrouwerij (InBev)","Dommelsche Bierbrouwerij (InBev)","Dommelsche Bierbrouwerij (InBev)","Columbia Brewery &#40;Labatt-InBev&#41;","Hasseröder Brauerei &#40;InBev&#41;","Hasseröder Brauerei &#40;InBev&#41;","Harbin Beer Company (AB InBev)","Grupo Modelo (Corona)","Gilde Brauerei &#40;InBev&#41;","FNC S.A. (InBev)","Cerveceria Paraguaya - Cervepar"
"Perm Brewery (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Kursk (Sun-InBev)","Haskovo (MolsonCoors)","Haskovo (MolsonCoors)","FNC S.A. (InBev)","FNC S.A. (InBev)","FNC S.A. (InBev)","Dommelsche Bierbrouwerij (InBev)","Hemelinger Getränke Ahlers GmbH","Hemelinger Getränke Ahlers GmbH","Hasseröder Brauerei &#40;InBev&#41;","Harbin Beer Company (AB InBev)","Ginsber Beer Company","Four Peaks Brewing Company &#40;AB-InBev&#41;","Cervecería Santa Cruz (Bolivia)"
"Pivovar Ostravar (Staropramen - MolsonCoors)","Omsk (Sun-InBev)","Latrobe Brewing Company","Labatt Breweries &#40;AB InBev&#41;","Hasseröder Brauerei &#40;InBev&#41;","Hasseröder Brauerei &#40;InBev&#41;","Gilde Brauerei &#40;InBev&#41;","Gilde Brauerei &#40;InBev&#41;","Gilde Brauerei &#40;InBev&#41;","FNC S.A. (InBev)","InBev Belgium","InBev Belgium","Hemelinger Getränke Ahlers GmbH","Hasseröder Brauerei &#40;InBev&#41;","Goose Island Beer Company &#40;AB-InBev&#41;","Gilde Brauerei &#40;InBev&#41;","Cerveceria Taquiña (CBN - AB-InBev)"
"Pivovaren Zavod Kamenitza (MolsonCoors)","Oriental Brewery (AB-InBev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Latrobe Brewing Company","Hemelinger Getränke Ahlers GmbH","Hemelinger Getränke Ahlers GmbH","Haskovo (MolsonCoors)","Haskovo (MolsonCoors)","Harbin Beer Company (AB InBev)","Gilde Brauerei &#40;InBev&#41;","Jinhua InBev Double Deer Beer Co.","Jinhua InBev Double Deer Beer Co.","InBev Belgium","Hemelinger Getränke Ahlers GmbH","Grupo Modelo (Corona)","Ginsber Beer Company","Cervejas De Moçambique (SABMiller)"
"Pivzavod Saransk (Sun-InBev)","Perm Brewery (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Hofbrauhaus Wolters","Hofbrauhaus Wolters","Hasseröder Brauerei &#40;InBev&#41;","Hasseröder Brauerei &#40;InBev&#41;","Haskovo (MolsonCoors)","Harbin Beer Company (AB InBev)","Klinskiy Pivokombinat (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Jinhua InBev Double Deer Beer Co.","InBev Belgium","Harbin Beer Company (AB InBev)","Golden Road Brewing &#40;AB InBev&#41;","Chernigivskyj Pivzavod (Sun-InBev)"
"Rogan (Sun-InBev)","Pivovar Ostravar (Staropramen - MolsonCoors)","Omsk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","InBev Belgium","InBev Belgium","Hemelinger Getränke Ahlers GmbH","Hemelinger Getränke Ahlers GmbH","Hasseröder Brauerei &#40;InBev&#41;","Haskovo (MolsonCoors)","Kursk (Sun-InBev)","Kursk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Jinhua InBev Double Deer Beer Co.","Hasseröder Brauerei &#40;InBev&#41;","Goose Island Beer Company &#40;AB-InBev&#41;","Columbia Brewery &#40;Labatt-InBev&#41;"
"Samlesbury &#40;AB InBev UK&#41;","Pivovaren Zavod Kamenitza (MolsonCoors)","Oriental Brewery (AB-InBev)","Omsk (Sun-InBev)","Jinhua InBev Double Deer Beer Co.","Jinhua InBev Double Deer Beer Co.","InBev Belgium","InBev Belgium","Hemelinger Getränke Ahlers GmbH","Hasseröder Brauerei &#40;InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Kursk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Hemelinger Getränke Ahlers GmbH","Grupo Modelo (Corona)","Compañia Cervecera de Canarias (SABMiller)"
"Staropramen Breweries (MolsonCoors)","Pivzavod Saransk (Sun-InBev)","Perm Brewery (Sun-InBev)","Oriental Brewery (AB-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Jinhua InBev Double Deer Beer Co.","Jinhua InBev Double Deer Beer Co.","InBev Belgium","Hemelinger Getränke Ahlers GmbH","Lakeport &#40;Labatt - InBev&#41;","Lakeport &#40;Labatt - InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Kursk (Sun-InBev)","InBev Belgium","Harbin Beer Company (AB InBev)","Devils Backbone Brewing Company &#40;AB InBev&#41;"
"Strangeways &#40;Interbrew UK - InBev&#41;","Rogan (Sun-InBev)","Pivovar Ostravar (Staropramen - MolsonCoors)","Perm Brewery (Sun-InBev)","Kursk (Sun-InBev)","Kursk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Jinhua InBev Double Deer Beer Co.","InBev Belgium","Löwenbräu AG","Löwenbräu AG","Lakeport &#40;Labatt - InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Jinhua InBev Double Deer Beer Co.","Hasseröder Brauerei &#40;InBev&#41;","Dommelsche Bierbrouwerij (InBev)"
"Trebjesa (MolsonCoors)","Samlesbury &#40;AB InBev UK&#41;","Pivovaren Zavod Kamenitza (MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Labatt Breweries &#40;AB InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Kursk (Sun-InBev)","Kursk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Jinhua InBev Double Deer Beer Co.","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Löwenbräu AG","Lakeport &#40;Labatt - InBev&#41;","Klinskiy Pivokombinat (Sun-InBev)","Hemelinger Getränke Ahlers GmbH","FNC S.A. (InBev)"
"United Dutch Breweries","Staropramen Breweries (MolsonCoors)","Pivzavod Saransk (Sun-InBev)","Pivovaren Zavod Kamenitza (MolsonCoors)","Latrobe Brewing Company","Latrobe Brewing Company","Labatt Breweries &#40;AB InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Kursk (Sun-InBev)","Klinskiy Pivokombinat (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Oland Brewery &#40;AB-InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Löwenbräu AG","Kursk (Sun-InBev)","InBev Belgium","Four Peaks Brewing Company &#40;AB-InBev&#41;"
"Volzhsky Brewery (Sun-InBev)","Strangeways &#40;Interbrew UK - InBev&#41;","Rogan (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Löwenbräu AG","Löwenbräu AG","Löwenbräu AG","Lakeport &#40;Labatt - InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Kursk (Sun-InBev)","Omsk (Sun-InBev)","Omsk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Labatt Breweries &#40;AB InBev&#41;","Jinhua InBev Double Deer Beer Co.","Ginsber Beer Company"
"Wellpark (Tennent Caledonian - C&C Group)","Trebjesa (MolsonCoors)","Samlesbury &#40;AB InBev UK&#41;","Rogan (Sun-InBev)","Mauritius Privatbrauerei","Mauritius Privatbrauerei","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Löwenbräu AG","Lakeport &#40;Labatt - InBev&#41;","Labatt Breweries &#40;AB InBev&#41;","Perm Brewery (Sun-InBev)","Perm Brewery (Sun-InBev)","Omsk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Lakeport &#40;Labatt - InBev&#41;","Klinskiy Pivokombinat (Sun-InBev)","Goose Island Beer Company &#40;AB-InBev&#41;"
"Yantar Brewery (Ukraine) (Sun-InBev)","United Dutch Breweries","Staropramen Breweries (MolsonCoors)","Samlesbury &#40;AB InBev UK&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Oland Brewery &#40;AB-InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Löwenbräu AG","Lakeport &#40;Labatt - InBev&#41;","Pivzavod Saransk (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Perm Brewery (Sun-InBev)","Omsk (Sun-InBev)","Löwenbräu AG","Kursk (Sun-InBev)","Grupo Empresarial Bavaria (SABMiller)"
"Zagrebačka Pivovara (MolsonCoors)","Volzhsky Brewery (Sun-InBev)","Strangeways &#40;Interbrew UK - InBev&#41;","Staropramen Breweries (MolsonCoors)","Oland Brewery &#40;AB-InBev&#41;","Oland Brewery &#40;AB-InBev&#41;","Omsk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Löwenbräu AG","Rogan (Sun-InBev)","Rogan (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Perm Brewery (Sun-InBev)","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Labatt Breweries &#40;AB InBev&#41;","Grupo Modelo (Corona)"
,"Wellpark (Tennent Caledonian - C&C Group)","Trebjesa (MolsonCoors)","Strangeways &#40;Interbrew UK - InBev&#41;","Omsk (Sun-InBev)","Omsk (Sun-InBev)","Oriental Brewery (AB-InBev)","Omsk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Nanjing Jinling Beer Stock Co., Ltd. (AB-Inbev)","Samlesbury &#40;AB InBev UK&#41;","Samlesbury &#40;AB InBev UK&#41;","Rogan (Sun-InBev)","Pivzavod Saransk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Lakeport &#40;Labatt - InBev&#41;","Harbin Beer Company (AB InBev)"
,"Yantar Brewery (Ukraine) (Sun-InBev)","United Dutch Breweries","Trebjesa (MolsonCoors)","Oriental Brewery (AB-InBev)","Oriental Brewery (AB-InBev)","Perm Brewery (Sun-InBev)","Oriental Brewery (AB-InBev)","Omsk (Sun-InBev)","Oland Brewery &#40;AB-InBev&#41;","Sedrin Brewery Co., Ltd (Inbev)","Sedrin Brewery Co., Ltd (Inbev)","Samlesbury &#40;AB InBev UK&#41;","Rogan (Sun-InBev)","Omsk (Sun-InBev)","Löwenbräu AG","Hasseröder Brauerei &#40;InBev&#41;"
,"Zagrebačka Pivovara (MolsonCoors)","Volzhsky Brewery (Sun-InBev)","United Dutch Breweries","Perm Brewery (Sun-InBev)","Perm Brewery (Sun-InBev)","Pivovar Ostravar (Staropramen - MolsonCoors)","Perm Brewery (Sun-InBev)","Oriental Brewery (AB-InBev)","Omsk (Sun-InBev)","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Sedrin Brewery Co., Ltd (Inbev)","Samlesbury &#40;AB InBev UK&#41;","Oriental Brewery (AB-InBev)","Mill Street Brewery &#40;AB InBev&#41;","Hemelinger Getränke Ahlers GmbH"
,,"Wellpark (Tennent Caledonian - C&C Group)","Volzhsky Brewery (Sun-InBev)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovar Ostravar (Staropramen - MolsonCoors)","Pivovaren Zavod Kamenitza (MolsonCoors)","Perm Brewery (Sun-InBev)","Perm Brewery (Sun-InBev)","Perm Brewery (Sun-InBev)","Strangeways &#40;Interbrew UK - InBev&#41;","Strangeways &#40;Interbrew UK - InBev&#41;","Spaten-Franziskaner-Bräu &#40;InBev&#41;","Sedrin Brewery Co., Ltd (Inbev)","Perm Brewery (Sun-InBev)","Mill Street Brewpub St. Johns &#40;AB-InBev&#41;","InBev Belgium"
