2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","AB InBev UK","10 Barrel Brewing Co. - missing in BA","10 Barrel Brewing Co. - missing in BA","10 Barrel Brewing Co. - missing in BA"
"Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Apatinska Pivara (MolsonCoors)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)","AB InBev UK","AB InBev UK","AB InBev UK"
"Belle-Vue (InBev)","Belle-Vue (InBev)","Belle-Vue (InBev)","Arcense Bierbrouwerij (AB-InBev)","AmBev Venezuela","AmBev Venezuela","AmBev Venezuela","AmBev Venezuela","AmBev Venezuela","AmBev Venezuela","AmBev Venezuela","Anheuser-Busch InBev","Anheuser-Busch InBev","Anheuser-Busch InBev","Ambev (AB InBev)","Ambev (AB InBev)","Ambev (AB InBev)"
"Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Belle-Vue (InBev)","Apatinska Pivara (MolsonCoors)","Apatinska Pivara (MolsonCoors)","Apatinska Pivara (MolsonCoors)","Apatinska Pivara (MolsonCoors)","Anheuser-Busch InBev","Anheuser-Busch InBev","Anheuser-Busch InBev","Bebidas Bolivianas (BBO)","Bebidas Bolivianas (BBO)","Bebidas Bolivianas (BBO)","Anheuser-Busch InBev","Anheuser-Busch InBev","Anheuser-Busch InBev"
"Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Bergenbier SA (MolsonCoors)","Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Apatinska Pivara (MolsonCoors)","Apatinska Pivara (MolsonCoors)","Bebidas Bolivianas (BBO)","Belle-Vue (InBev)","Belle-Vue (InBev)","Belle-Vue (InBev)","Bebidas Bolivianas (BBO)","Bebidas Bolivianas (BBO)","Backus y Johnston (SABMiller)"
"Branik (InBev)","Branik (InBev)","Branik (InBev)","Borsodi Sörgyár (MolsonCoors)","Belle-Vue (InBev)","Belle-Vue (InBev)","Belle-Vue (InBev)","Belle-Vue (InBev)","Arcense Bierbrouwerij (AB-InBev)","Arcense Bierbrouwerij (AB-InBev)","Belle-Vue (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Belle-Vue (InBev)","Belle-Vue (InBev)","Bebidas Bolivianas (BBO)"
"Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Branik (InBev)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Bergenbier SA (MolsonCoors)","Belle-Vue (InBev)","Bebidas Bolivianas (BBO)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Blue Point Brewing &#40;AB InBev&#41;","Blue Point Brewing &#40;AB InBev&#41;","Belle-Vue (InBev)"
"Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Borsodi Sörgyár (MolsonCoors)","Bergenbier SA (MolsonCoors)","Belle-Vue (InBev)","Brasserie Piedboeuf (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Blue Point Brewing &#40;AB InBev&#41;"
"Brouwerij de Oranjeboom (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brasserie Piedboeuf (InBev)","Branik (InBev)","Branik (InBev)","Branik (InBev)","Branik (InBev)","Borsodi Sörgyár (MolsonCoors)","Bergenbier SA (MolsonCoors)","Brauerei Beck & Co./Becks (InBev)","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brasserie Piedboeuf (InBev)","Brasserie Piedboeuf (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)"
"Brouwerij Hoegaarden (AB-InBev)","Brauerei Diebels &#40;InBev&#41;","Brauerei Diebels &#40;InBev&#41;","Brauerei Beck & Co./Becks (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Brasserie de Luxembourg Mousel-Diekirch (InBev)","Branik (InBev)","Borsodi Sörgyár (MolsonCoors)","Brauerei Diebels &#40;InBev&#41;","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brouwerij de Oranjeboom (InBev)","Brauerei Beck & Co./Becks (InBev)","Brauerei Beck & Co./Becks (InBev)","Brasserie Piedboeuf (InBev)"
